date	url	md	title
2026/07/20	/articles/asrMOxuKsJIdPqANfOs3	qua/04-4d-bsqua.md	4次元回転と分解型双四元数
2026/07/15	/articles/aUC0EotUv0bdyXzusvAT	hopf/03-bloch-density.md	四元数とホップファイブレーション 3 ブロッホ球と密度行列
2026/07/10	/articles/Utdur1fLLzrWVHOJHifj	lie/02-su2-so3.md	リー群・リー代数の初歩 2 四元数とSU(2)
2026/05/23	/articles/PZJuaRWHYidsIg9u83j8	oct/03-oct-left-mul.md	八元数の左作用とクリフォード代数
2026/05/23	/articles/vizAwdiKusmQ6pdsPTLE	oct/01-octonion.md	八元数の基本事項
2026/05/17	/articles/3gMUAXJD714J2LtlfIqU	qua/02-nonion.md	シルベスターの九元数 (nonion)
2025/11/29	/articles/J3DiMC0oXiq4NoszAcIL	qua/spherical-trig.md	四元数と球面三角法
2025/11/25	/articles/OHZI3f5bQ4hB0S7dn6lv	hopf/c2-to-s2.md	複素2次元ベクトルから2次元球面への射影
2025/05/07	/articles/WemNx889eIXX9PCuUnEG	qua/cd/real-to-cmatrix.md	四元数の実行列表現から複素行列表現へ
2025/05/06	/articles/I6V2YAJa3waOOYs01tUS	qua/cd/cd-to-matrix.md	ケイリー＝ディクソンの構成法から四元数の行列表現まで
2025/05/06	/articles/IHhFIq8wMAe1ymcklkyO	qua/cd/heuristic-cmatrix.md	発見的手法による四元数の複素行列表現の構成
2025/05/03	/articles/DHOiSwSzjA9jR4MlrTGu	qua/cd/matrix-to-pauli.md	四元数の行列表現からパウリ行列まで
2025/03/10	/articles/uxSj6AJC0J03WRk0h3r7	misc/exp-maclaurin-integral.md	指数関数を定積分でマクローリン展開
2025/03/09	/articles/LaKnZpwhlbeMHelDgI4M	lie/01-u1-so2.md	リー群・リー代数の初歩 1 複素数とSO(2)
2025/03/08	/articles/e4aD1MZfKjQKcNO4ilRG	lie/magma-to-group.md	代数的構造の初歩：マグマから群へ
2025/03/04	/articles/JglJ6odtQZfz0t87vguS	misc/energy-quantize-zeta.md	エネルギーの量子化とゼータ関数
2025/01/29	/articles/fXYD8gdyHdnyPvoFnWPN	oct/nonassociativity.md	八元数の非結合性
2025/01/21	/articles/f5v2F6yOFhqtnpDtFtcP	hopf/homogeneous.md	同次座標とホップファイブレーション
2024/12/25	/articles/Ale2XUWFasqCiU2V5Q7p	qua/real-pauli-trace.md	実パウリ行列とトレース
2024/12/16	/articles/ndkq7Dj2xrcnT7oiRYey	misc/variable-dependence.md	変数の依存関係と微分
2024/12/13	/articles/XYc7CpVJFqivkuseQCQS	misc/epsilon-euler-lagrange.md	εパラメーターを用いたオイラー＝ラグランジュ方程式
2024/12/11	/articles/hdHs4JasRbf9uSo26mFd	misc/integration-by-parts.md	部分積分における関数の微分の利用
2024/11/22	/articles/Q2gHpZNKhnCki6ipol4F	qua/03-qua-tensor.md	四元数のテンソル積とクリフォード代数の構成
2024/11/06	/articles/OunyiPffmIKhwwdmSrsA	qua/tensor-from-complex.md	複素数の拡張で学ぶテンソル積
2024/07/24	/articles/YZmxak6ObeP6rLQnyU2V	vec-oct/geometric-product-exp.md	ベクトルの幾何積と指数関数
2024/07/16	/articles/yZGOwcB2XXpfEvlCuSW4	vec-oct/01-reflection.md	鏡映：ベクトルから八元数まで
2024/07/11	/articles/lZ1X3t6exNS3NrNArqji	qua/01-pauli-qua.md	パウリ行列と四元数：双四元数による橋渡し
2024/06/26	/articles/cWj1bUNwa7E3kgMhvJb0	oct/02-7d-3rot.md	単位八元数による7次元三重回転
2024/05/24	/articles/co6jC5vshPXR0EgmAjX3	hopf/02-spinor-tensor.md	四元数とホップファイブレーション 2 スピノルのテンソル積
2024/05/21	/articles/2HkSkfawcYJYgE6rVgu6	misc/spherical-coords.md	一般次元における球座標系のバリエーション
2024/05/14	/articles/enXfjr4Xvas6pfXLQddc	hopf/01-quaternion.md	四元数とホップファイブレーション 1 四元数からの生成
		clif/01-representation.md	クリフォード代数の構造と表現
		clif/02-split-complex.md	分解型複素数の冪等元と直和分解
		clif/03-gpm-gca.md	一般化パウリ行列と一般化クリフォード代数
		clif/04-weyl-algebra.md	クロック行列とシフト行列の連続極限：ワイル代数と正準交換関係
		clif/05-schrodinger.md	離散ラプラシアンの連続極限：シュレーディンガー方程式の導出
		hopf/04-extension.md	四元数・八元数への拡張
		hopf/05-entanglement.md	2・3量子ビットのもつれとホップファイブレーション
		hopf/06-clifford-gates.md	量子ゲートを回転子として読み直す
		lebesgue/01-measure-integral.md	測度とルベーグ積分
		lebesgue/02-l2-hilbert.md	L²空間とヒルベルト空間
		lebesgue/03-probability.md	測度論的確率論
		lebesgue/04-brownian-ito.md	ブラウン運動と伊藤の補題
		lebesgue/05-black-scholes.md	ブラック＝ショールズ方程式
		lebesgue/06-nelson-stochastic-qm.md	ネルソンの確率過程量子化
		lie/03-spin.md	クリフォード代数とSpin(3)
		lie/04-spin4.md	Spin(4)とSO(4)
		lie/05-su3.md	SO(3)の複素化とSU(3)
		lie/double-cover.md	二重被覆と単連結性の直観
		qua/05-dual-qua.md	二重四元数と剛体変換
		qua/06-slerp.md	回転子の補間：SLERP
		qua/cd/bcmp-qua.md	ケイリー＝ディクソン構成の分岐点：双複素数と四元数
		qua/cd/grok45.md	複素数の行列表現から四元数へ：発見法的な導出
		qua/cd/memo.md	元になったツイートスレッド
		qua/spinor-ideal.md	四元数の左作用・右作用とスピノルの左イデアル
		vec-oct/02-rotation.md	回転：ベクトルから八元数まで
