md	slug
clif/01-representation.md	7shi-clif1
clif/02-split-complex.md	7shi-clif2
clif/03-gpm-gca.md	7shi-clif3
clif/04-weyl-algebra.md	7shi-clif4
clif/05-schrodinger.md	7shi-clif5
hopf/01-quaternion.md	7shi-h
hopf/02-spinor-tensor.md	7shi-s
hopf/03-bloch-density.md	7shi-bloch
hopf/04-extension.md	7shi-hopfext
hopf/05-entanglement.md	7shi-entangle
hopf/06-clifford-gates.md	7shi-qgate
hopf/c2-to-s2.md	7shi-c2s2
hopf/homogeneous.md	7shi-homog
lebesgue/01-measure-integral.md	7shi-leb1
lebesgue/02-l2-hilbert.md	7shi-leb2
lebesgue/03-probability.md	7shi-leb3
lebesgue/04-brownian-ito.md	7shi-leb4
lebesgue/05-black-scholes.md	7shi-leb5
lebesgue/06-nelson-stochastic-qm.md	7shi-leb6
lie/01-u1-so2.md	7shi-lie1
lie/02-su2-so3.md	7shi-lie2
lie/03-spin.md	7shi-lie3
lie/04-spin4.md	7shi-lie4
lie/05-su3.md	7shi-lie5
lie/magma-to-group.md	7shi-group
misc/energy-quantize-zeta.md	7shi-zeta
misc/epsilon-euler-lagrange.md	7shi-eleq
misc/exp-maclaurin-integral.md	7shi-macl
misc/integration-by-parts.md	7shi-ibp
misc/spherical-coords.md	7shi-coord
misc/variable-dependence.md	7shi-diff
oct/01-octonion.md	7shi-oct1
oct/02-7d-3rot.md	7shi-7rot
oct/03-oct-left-mul.md	7shi-cl6
oct/nonassociativity.md	7shi-nonassoc
qua/01-pauli-qua.md	7shi-bq
qua/02-nonion.md	7shi-nonion
qua/03-qua-tensor.md	7shi-qt
qua/04-4d-bsqua.md	7shi-4drot
qua/05-dual-qua.md	7shi-dualq
qua/cd/bcmp-qua.md	7shi-bcq
qua/cd/cd-to-matrix.md	7shi-cdm
qua/cd/grok45.md	NONE
qua/cd/heuristic-cmatrix.md	7shi-qcm
qua/cd/matrix-to-pauli.md	7shi-qp
qua/cd/memo.md	NONE
qua/cd/real-to-cmatrix.md	7shi-rcm
qua/real-pauli-trace.md	7shi-rpt
qua/spherical-trig.md	7shi-strig
qua/spinor-ideal.md	7shi-ideal
qua/tensor-from-complex.md	7shi-tp
vec-oct/01-reflection.md	7shi-mir
vec-oct/02-rotation.md	7shi-vrot
vec-oct/geometric-product-exp.md	7shi-vge
